iter	Passed	Remaining
0	60	30423
1	112	28030
2	173	28721
3	236	29311
4	277	27436
5	347	28589
6	392	27628
7	455	28022
8	485	26508
9	582	28519
10	623	27721
11	711	28946
12	800	29992
13	895	31085
14	982	31764
15	1068	32331
16	1165	33110
17	1203	32217
18	1290	32669
19	1351	32430
20	1401	31964
21	1484	32255
22	1544	32037
23	1610	31944
24	1682	31973
25	1745	31825
26	1806	31640
27	1864	31430
28	1924	31264
29	1984	31084
30	2044	30930
31	2098	30690
32	2156	30523
33	2221	30441
34	2279	30278
35	2340	30168
36	2376	29738
37	2413	29346
38	2475	29261
39	2538	29197
40	2598	29089
41	2625	28627
42	2687	28557
43	2751	28513
44	2769	27998
45	2826	27900
46	2888	27842
47	2950	27779
48	3009	27697
49	3049	27443
50	3102	27314
51	3160	27227
52	3218	27143
53	3243	26786
54	3305	26744
55	3333	26429
56	3394	26378
57	3417	26044
58	3436	25687
59	3497	25651
60	3519	25328
61	3576	25263
62	3639	25247
63	3702	25223
64	3767	25214
65	3830	25188
66	3886	25119
67	3949	25091
68	4012	25062
69	4077	25050
70	4142	25027
71	4164	24756
72	4225	24715
73	4284	24663
74	4350	24650
75	4362	24339
76	4432	24351
77	4499	24344
78	4572	24369
79	4646	24393
80	4710	24368
81	4778	24358
82	4848	24358
83	4914	24338
84	4931	24076
85	4956	23860
86	5018	23823
87	5033	23564
88	5097	23540
89	5160	23510
90	5226	23489
91	5294	23481
92	5357	23444
93	5421	23415
94	5483	23378
95	5551	23361
96	5621	23354
97	5689	23337
98	5758	23325
99	5785	23141
100	5848	23104
101	5869	22902
102	5931	22862
103	5953	22668
104	5985	22516
105	6044	22465
106	6073	22306
107	6092	22111
108	6102	21889
109	6142	21777
110	6208	21756
111	6267	21711
112	6292	21550
113	6357	21527
114	6418	21487
115	6442	21326
116	6502	21286
117	6565	21255
118	6623	21207
119	6642	21034
120	6663	20872
121	6722	20827
122	6757	20710
123	6819	20677
124	6882	20646
125	6894	20463
126	6953	20422
127	7017	20393
128	7081	20365
129	7146	20339
130	7212	20317
131	7238	20179
132	7299	20142
133	7362	20110
134	7430	20088
135	7494	20059
136	7518	19920
137	7551	19807
138	7566	19650
139	7628	19617
140	7670	19529
141	7733	19496
142	7796	19462
143	7863	19440
144	7885	19306
145	7949	19274
146	8011	19238
147	8043	19131
148	8104	19091
149	8170	19064
150	8187	18922
151	8250	18888
152	8313	18855
153	8341	18741
154	8403	18703
155	8473	18685
156	8537	18651
157	8600	18617
158	8641	18534
159	8700	18489
160	8764	18453
161	8828	18420
162	8890	18381
163	8956	18348
164	8982	18237
165	9044	18197
166	9072	18090
167	9131	18045
168	9192	18004
